ad_archive_id,page_id,page_name,ad_creation_time,ad_delivery_start_time,ad_delivery_stop_time,byline,ad_creative_bodies,ad_creative_link_titles,ad_creative_link_captions,ad_creative_link_descriptions,impressions,spend,currency,demographic_distribution,delivery_by_region,publisher_platforms,estimated_audience_size,languages
3847731125501858,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","O trabalho não para em todo o Ceará! 👊🤩

Nesta semana, teve entrega para a saúde, educação e pro social, além de benefícios para os profissionais da segurança e ações para o desenvolvimento do estado e do povo cearense. Vem conferir o nosso balanço! ▶️

#governodoceará #ceará #entregas #balançosemanal",,instagram.com,,"lower_bound: 175000, upper_bound: 199999","lower_bound: 600, upper_bound: 699",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.251768},{""age"":""45-54"",""gender"":""male"",""percentage"":0.015794},{""age"":""65+"",""gender"":""male"",""percentage"":0.004679},{""age"":""65+"",""gender"":""female"",""percentage"":0.014255},{""age"":""55-64"",""gender"":""unknown"",""percentage"":4.4e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.007153},{""age"":""55-64"",""gender"":""female"",""percentage"":0.027274},{""age"":""45-54"",""gender"":""unknown"",""percentage"":9.4e-5},{""age"":""45-54"",""gender"":""female"",""percentage"":0.045021},{""age"":""18-24"",""gender"":""male"",""percentage"":0.207425},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00049},{""age"":""35-44"",""gender"":""male"",""percentage"":0.041617},{""age"":""35-44"",""gender"":""female"",""percentage"":0.090267},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001086},{""age"":""25-34"",""gender"":""male"",""percentage"":0.118257},{""age"":""25-34"",""gender"":""female"",""percentage"":0.172622},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.002072},{""age"":""65+"",""gender"":""unknown"",""percentage"":8.2e-5}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",pt
1010632087128018,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","O trabalho não para em todo o Ceará! 👊🤩

Nesta semana, teve entrega para a saúde, educação e pro social, além de benefícios para os profissionais da segurança e ações para o desenvolvimento do estado e do povo cearense. Vem conferir o nosso balanço! ▶️

#governodoceará #ceará #entregas #balançosemanal",,,,"lower_bound: 200000, upper_bound: 249999","lower_bound: 200, upper_bound: 299",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.381711},{""age"":""45-54"",""gender"":""male"",""percentage"":0.0035},{""age"":""65+"",""gender"":""male"",""percentage"":0.001278},{""age"":""65+"",""gender"":""female"",""percentage"":0.002966},{""age"":""55-64"",""gender"":""unknown"",""percentage"":9.0e-6},{""age"":""55-64"",""gender"":""male"",""percentage"":0.001341},{""age"":""55-64"",""gender"":""female"",""percentage"":0.003436},{""age"":""45-54"",""gender"":""unknown"",""percentage"":5.5e-5},{""age"":""45-54"",""gender"":""female"",""percentage"":0.009623},{""age"":""18-24"",""gender"":""male"",""percentage"":0.201573},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000164},{""age"":""35-44"",""gender"":""male"",""percentage"":0.018694},{""age"":""35-44"",""gender"":""female"",""percentage"":0.044592},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000716},{""age"":""25-34"",""gender"":""male"",""percentage"":0.111541},{""age"":""25-34"",""gender"":""female"",""percentage"":0.217032},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001757},{""age"":""65+"",""gender"":""unknown"",""percentage"":1.4e-5}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",pt
1359688058512736,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","Essa entrega é daquelas que enchem o coração de alegria. 🤏☺️ Olha o Centro de Educação Infantil novinho que entregamos pra população de Acaraú!📍🏫

O CEI Sávia Silvana Florindo já está de portas abertas e tem capacidade para até 208 crianças, do Infantil Bebê ao Infantil V, com uma estrutura completa: berçário, dormitório, fraldário, refeitório, parquinho e muito mais.

Um espaço pensado com carinho e cuidado para o desenvolvimento dos mini acarauenses. 🫶👶🏽👧🏻 

#GovernoQueNãoPara #GovernoDoCeará #AvançaroCeará #Ceará #EducaçãoInfantil #EducaçãoCeará",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 100, upper_bound: 199",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.147094},{""age"":""45-54"",""gender"":""female"",""percentage"":0.096177},{""age"":""65+"",""gender"":""female"",""percentage"":0.018873},{""age"":""55-64"",""gender"":""unknown"",""percentage"":8.8e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.00853},{""age"":""55-64"",""gender"":""female"",""percentage"":0.049017},{""age"":""45-54"",""gender"":""unknown"",""percentage"":4.4e-5},{""age"":""45-54"",""gender"":""male"",""percentage"":0.021878},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000575},{""age"":""18-24"",""gender"":""male"",""percentage"":0.08},{""age"":""35-44"",""gender"":""male"",""percentage"":0.054851},{""age"":""35-44"",""gender"":""female"",""percentage"":0.182983},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000884},{""age"":""25-34"",""gender"":""male"",""percentage"":0.095646},{""age"":""25-34"",""gender"":""female"",""percentage"":0.238939},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001017},{""age"":""65+"",""gender"":""male"",""percentage"":0.003403}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",pt
1318565609424645,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","Essa entrega é daquelas que enchem o coração de alegria. 🤏☺️ Olha o Centro de Educação Infantil novinho que entregamos pra população de Acaraú!📍🏫

O CEI Sávia Silvana Florindo já está de portas abertas e tem capacidade para até 208 crianças, do Infantil Bebê ao Infantil V, com uma estrutura completa: berçário, dormitório, fraldário, refeitório, parquinho e muito mais.

Um espaço pensado com carinho e cuidado para o desenvolvimento dos mini acarauenses. 🫶👶🏽👧🏻 

#GovernoQueNãoPara #GovernoDoCeará #AvançaroCeará #Ceará #EducaçãoInfantil #EducaçãoCeará",,,,"lower_bound: 30000, upper_bound: 34999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.329142},{""age"":""45-54"",""gender"":""female"",""percentage"":0.014637},{""age"":""65+"",""gender"":""male"",""percentage"":0.001814},{""age"":""65+"",""gender"":""female"",""percentage"":0.002565},{""age"":""55-64"",""gender"":""male"",""percentage"":0.001376},{""age"":""55-64"",""gender"":""female"",""percentage"":0.002909},{""age"":""45-54"",""gender"":""unknown"",""percentage"":3.1e-5},{""age"":""45-54"",""gender"":""male"",""percentage"":0.005317},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000188},{""age"":""18-24"",""gender"":""male"",""percentage"":0.180522},{""age"":""35-44"",""gender"":""male"",""percentage"":0.028398},{""age"":""35-44"",""gender"":""female"",""percentage"":0.060674},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001001},{""age"":""25-34"",""gender"":""male"",""percentage"":0.136361},{""age"":""25-34"",""gender"":""female"",""percentage"":0.233502},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001532},{""age"":""65+"",""gender"":""unknown"",""percentage"":3.1e-5}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 100001, upper_bound: 500000",pt
653567164347315,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","Habla mesmo, diva! 😍

Em Acaraú, teve mais entrega de tablets. Dessa vez, quase 7 MIL alunos da Rede Estadual foram beneficiados e já podem usar essa ferramenta pra otimizar seus estudos. “Old” que os jovens amaram, né? 📱🤣

#GovernodoCeará #Educação #InclusãoDigital",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.241878},{""age"":""18-24"",""gender"":""male"",""percentage"":0.174891},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001945},{""age"":""25-34"",""gender"":""female"",""percentage"":0.204267},{""age"":""25-34"",""gender"":""male"",""percentage"":0.109137},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001491},{""age"":""35-44"",""gender"":""female"",""percentage"":0.125997},{""age"":""35-44"",""gender"":""male"",""percentage"":0.043512},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000648},{""age"":""45-54"",""gender"":""female"",""percentage"":0.051683},{""age"":""45-54"",""gender"":""male"",""percentage"":0.014201},{""age"":""45-54"",""gender"":""unknown"",""percentage"":6.5e-5},{""age"":""55-64"",""gender"":""female"",""percentage"":0.016795},{""age"":""55-64"",""gender"":""male"",""percentage"":0.004085},{""age"":""65+"",""gender"":""female"",""percentage"":0.006809},{""age"":""65+"",""gender"":""male"",""percentage"":0.002594}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",
967003188943718,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","Habla mesmo, diva! 😍

Em Acaraú, teve mais entrega de tablets. Dessa vez, quase 7 MIL alunos da Rede Estadual foram beneficiados e já podem usar essa ferramenta pra otimizar seus estudos. “Old” que os jovens amaram, né? 📱🤣

#GovernodoCeará #Educação #InclusãoDigital",,,,"lower_bound: 20000, upper_bound: 24999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.19931},{""age"":""45-54"",""gender"":""female"",""percentage"":0.063869},{""age"":""65+"",""gender"":""female"",""percentage"":0.009029},{""age"":""55-64"",""gender"":""unknown"",""percentage"":6.6e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.006838},{""age"":""55-64"",""gender"":""female"",""percentage"":0.025362},{""age"":""45-54"",""gender"":""unknown"",""percentage"":6.6e-5},{""age"":""45-54"",""gender"":""male"",""percentage"":0.017395},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000465},{""age"":""18-24"",""gender"":""male"",""percentage"":0.146793},{""age"":""35-44"",""gender"":""male"",""percentage"":0.057628},{""age"":""35-44"",""gender"":""female"",""percentage"":0.125548},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000996},{""age"":""25-34"",""gender"":""male"",""percentage"":0.134843},{""age"":""25-34"",""gender"":""female"",""percentage"":0.206945},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001726},{""age"":""65+"",""gender"":""male"",""percentage"":0.00312}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",
1191013405857448,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","Habla mesmo, diva! 😍

Em Acaraú, teve mais entrega de tablets. Dessa vez, quase 7 MIL alunos da Rede Estadual foram beneficiados e já podem usar essa ferramenta pra otimizar seus estudos. “Old” que os jovens amaram, né? 📱🤣

#GovernodoCeará #Educação #InclusãoDigital",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.332482},{""age"":""18-24"",""gender"":""male"",""percentage"":0.165188},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001213},{""age"":""25-34"",""gender"":""female"",""percentage"":0.260994},{""age"":""25-34"",""gender"":""male"",""percentage"":0.114764},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000766},{""age"":""35-44"",""gender"":""female"",""percentage"":0.069637},{""age"":""35-44"",""gender"":""male"",""percentage"":0.024063},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000319},{""age"":""45-54"",""gender"":""female"",""percentage"":0.017744},{""age"":""45-54"",""gender"":""male"",""percentage"":0.004277},{""age"":""55-64"",""gender"":""female"",""percentage"":0.002936},{""age"":""55-64"",""gender"":""male"",""percentage"":0.001277},{""age"":""65+"",""gender"":""female"",""percentage"":0.003},{""age"":""65+"",""gender"":""male"",""percentage"":0.00134}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 50001, upper_bound: 100000",pt
4385402418412027,150897651635768,"Governo do Estado do Ceará",2025-04-02,2025-04-02,,"Governo do Estado do Ceará","Habla mesmo, diva! 😍

Em Acaraú, teve mais entrega de tablets. Dessa vez, quase 7 MIL alunos da Rede Estadual foram beneficiados e já podem usar essa ferramenta pra otimizar seus estudos. “Old” que os jovens amaram, né? 📱🤣

#GovernodoCeará #Educação #InclusãoDigital",,,,"lower_bound: 15000, upper_bound: 19999","lower_bound: 0, upper_bound: 99",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.241247},{""age"":""45-54"",""gender"":""female"",""percentage"":0.029233},{""age"":""65+"",""gender"":""female"",""percentage"":0.003318},{""age"":""55-64"",""gender"":""unknown"",""percentage"":5.7e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.002403},{""age"":""55-64"",""gender"":""female"",""percentage"":0.006808},{""age"":""45-54"",""gender"":""unknown"",""percentage"":5.7e-5},{""age"":""45-54"",""gender"":""male"",""percentage"":0.01167},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000572},{""age"":""18-24"",""gender"":""male"",""percentage"":0.151888},{""age"":""35-44"",""gender"":""male"",""percentage"":0.04651},{""age"":""35-44"",""gender"":""female"",""percentage"":0.099027},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.001259},{""age"":""25-34"",""gender"":""male"",""percentage"":0.156121},{""age"":""25-34"",""gender"":""female"",""percentage"":0.246281},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.001773},{""age"":""65+"",""gender"":""male"",""percentage"":0.001773}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 10001, upper_bound: 50000",pt
665562093089810,150897651635768,"Governo do Estado do Ceará",2025-04-01,2025-04-01,,"Governo do Estado do Ceará","Tá na mesa! 🍲🍗🥔

O Governo do Ceará não para de trabalhar para levar mais comida e dignidade aos lares cearenses.

São ações como essas que facilitam o acesso a uma boa alimentação e a uma vida melhor para toda a população. 🤝😋

#GovernodoCeará #Comida #ComidanaMesa,Tá na mesa! 🍲🍗🥔

O Governo do Ceará não para de trabalhar para levar mais comida e dignidade aos lares cearenses.

São ações como essas que facilitam o acesso a uma boa alimentação e a uma vida melhor para toda a população. 🤝😋

#GovernodoCeará #Comida #ComidanaMesa,Tá na mesa! 🍲🍗🥔

O Governo do Ceará não para de trabalhar para levar mais comida e dignidade aos lares cearenses.

São ações como essas que facilitam o acesso a uma boa alimentação e a uma vida melhor para toda a população. 🤝😋

#GovernodoCeará #Comida #ComidanaMesa",,ceara.gov.br,,"lower_bound: 100000, upper_bound: 124999","lower_bound: 400, upper_bound: 499",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.053458},{""age"":""45-54"",""gender"":""male"",""percentage"":0.04685},{""age"":""65+"",""gender"":""male"",""percentage"":0.016561},{""age"":""65+"",""gender"":""female"",""percentage"":0.050195},{""age"":""55-64"",""gender"":""unknown"",""percentage"":9.3e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.028314},{""age"":""55-64"",""gender"":""female"",""percentage"":0.074154},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000186},{""age"":""45-54"",""gender"":""female"",""percentage"":0.089333},{""age"":""18-24"",""gender"":""male"",""percentage"":0.067638},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.000534},{""age"":""35-44"",""gender"":""male"",""percentage"":0.107996},{""age"":""35-44"",""gender"":""female"",""percentage"":0.14545},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.000813},{""age"":""25-34"",""gender"":""male"",""percentage"":0.164079},{""age"":""25-34"",""gender"":""female"",""percentage"":0.153801},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000511},{""age"":""65+"",""gender"":""unknown"",""percentage"":3.5e-5}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",pt
1299385717817165,150897651635768,"Governo do Estado do Ceará",2025-04-01,2025-04-01,,"Governo do Estado do Ceará","Tá na mesa! 🍲🍗🥔

O Governo do Ceará não para de trabalhar para levar mais comida e dignidade aos lares cearenses.

São ações como essas que facilitam o acesso a uma boa alimentação e a uma vida melhor para toda a população. 🤝😋

#GovernodoCeará #Comida #ComidanaMesa,Tá na mesa! 🍲🍗🥔

O Governo do Ceará não para de trabalhar para levar mais comida e dignidade aos lares cearenses.

São ações como essas que facilitam o acesso a uma boa alimentação e a uma vida melhor para toda a população. 🤝😋

#GovernodoCeará #Comida #ComidanaMesa,Tá na mesa! 🍲🍗🥔

O Governo do Ceará não para de trabalhar para levar mais comida e dignidade aos lares cearenses.

São ações como essas que facilitam o acesso a uma boa alimentação e a uma vida melhor para toda a população. 🤝😋

#GovernodoCeará #Comida #ComidanaMesa",,ceara.gov.br,,"lower_bound: 250000, upper_bound: 299999","lower_bound: 1000, upper_bound: 1499",BRL,"{""age"":""18-24"",""gender"":""female"",""percentage"":0.093152},{""age"":""45-54"",""gender"":""male"",""percentage"":0.037327},{""age"":""65+"",""gender"":""male"",""percentage"":0.012245},{""age"":""65+"",""gender"":""female"",""percentage"":0.039167},{""age"":""55-64"",""gender"":""unknown"",""percentage"":6.8e-5},{""age"":""55-64"",""gender"":""male"",""percentage"":0.022699},{""age"":""55-64"",""gender"":""female"",""percentage"":0.064882},{""age"":""45-54"",""gender"":""unknown"",""percentage"":0.000136},{""age"":""45-54"",""gender"":""female"",""percentage"":0.079297},{""age"":""18-24"",""gender"":""male"",""percentage"":0.097791},{""age"":""35-44"",""gender"":""unknown"",""percentage"":0.00038},{""age"":""35-44"",""gender"":""male"",""percentage"":0.084963},{""age"":""35-44"",""gender"":""female"",""percentage"":0.1368},{""age"":""25-34"",""gender"":""unknown"",""percentage"":0.00076},{""age"":""25-34"",""gender"":""male"",""percentage"":0.150885},{""age"":""25-34"",""gender"":""female"",""percentage"":0.178431},{""age"":""18-24"",""gender"":""unknown"",""percentage"":0.000959},{""age"":""65+"",""gender"":""unknown"",""percentage"":5.9e-5}","{""region"":""Cear\u00e1"",""percentage"":1}","facebook,instagram","lower_bound: 1000001",pt
